"Year","Range_area","BobcatP","CoyoteP","Hare_pellets","Avg_WSI","Lynx_boreal"
1948,573.546875327707,0,4,NA,NA,241
1949,355.052827583818,0,11,NA,NA,268
1950,191.182291775902,7,14,NA,NA,275
1951,191.182291775902,9,20,NA,NA,79
1952,327.741071615832,8,18,NA,442.819804557063,894
1953,682.793899199651,5,11,NA,754.493639403613,1161
1954,819.352679039581,8,12,NA,828.078580996208,833
1955,873.976190975553,7,16,NA,1043.61991395192,523
1956,873.976190975553,5,17,NA,866.013593277341,355
1957,819.352679039581,7,19,NA,598.267558962558,623
1958,901.287946943539,7,22,NA,1030.64074542624,1418
1959,1092.47023871944,2,10,NA,1000.09117277533,2497
1960,1229.02901855937,1,15,NA,533.080649547321,2254
1961,1392.89955436729,3,18,NA,815.911012730442,2649
1962,1420.21131033527,3,17,NA,650.327069651759,2763
1963,1474.83482227125,5,20,NA,764.398183552134,1744
1964,1420.21131033527,7,20,NA,863.639106315618,782
1965,1420.21131033527,2,20,NA,884.400562221319,808
1966,1283.65253049534,3,19,NA,935.817774072289,306
1967,1147.09375065541,1,14,NA,616.580152966988,177
1968,983.223214847497,4,27,NA,947.081874427301,80
1969,1092.47023871944,2,21,NA,948.651434162349,51
1970,1119.78199468743,NA,NA,NA,1126.86993935303,NA
1971,1201.71726259139,NA,NA,NA,1064.3393958884,NA
1972,1310.96428646333,12,45,NA,662.188635263193,3722
1973,1310.96428646333,12,48,NA,830.60870554589,2842
1974,1256.34077452736,15,46,NA,907.938766406639,1385
1975,1256.34077452736,NA,NA,NA,830.597548561157,NA
1976,1201.71726259139,8,61,NA,803.204723870082,570
1977,1119.78199468743,6,60,NA,1068.18917003039,1069
1978,1092.47023871944,9,61,NA,1079.99150209853,1225
1979,1092.47023871944,9,63,NA,642.185184386685,1575
1980,1092.47023871944,7,55,NA,677.46265459831,1859
1981,1092.47023871944,8,50,NA,955.380747097654,2137
1982,1092.47023871944,7,46,NA,431.561367680224,2007
1983,1065.15848275145,8,49,NA,888.140070382797,1863
1984,1065.15848275145,8,53,NA,729.581118439979,508
1985,955.911458879511,11,46,NA,824.271870101713,418
1986,928.599702911525,NA,NA,0.24,592.252922211329,NA
1987,873.976190975553,11,48,1.72,584.898603875716,637
1988,873.976190975553,2,49,2.35,954.270749447796,712
1989,928.599702911525,NA,NA,1.92,775.416538714026,NA
1990,983.223214847497,6,41,4.05,604.678473717958,808
1991,1147.09375065541,NA,NA,3.545,900.831065618472,NA
1992,1147.09375065541,5,39,6.51,699.065602283655,583
1993,1147.09375065541,5,50,5.565,692.929425158141,533
1994,1147.09375065541,5,50,5.68,475.59658205904,565
1995,1147.09375065541,4,50,3.08,1068.62961990523,324
1996,1119.78199468743,4,45,3.625,1074.844475305,434
1997,1010.53497081548,6,47,1.93,556.994705906587,490
1998,1010.53497081548,5,44,1.845,538.879042811223,434
1999,1010.53497081548,6,44,4.405,366.085267776277,447
2000,1065.15848275145,4,42,7.37,877.085279097678,566
2001,1119.78199468743,9,44,5.165,490.845488076157,854
2002,1201.71726259139,11,40,4.49,673.229138944864,1090
2003,1201.71726259139,7,43,2.32666666666667,702.418390077296,979
2004,1201.71726259139,10,42,2.45,797.542018674795,952
2005,1174.4055066234,11,39,0.068,783.043490460416,502
2006,1147.09375065541,10,45,0.74,412.639359067891,677
2007,1147.09375065541,12,39,3.805,884.336869710074,481
2008,1174.4055066234,12,38,3.505,939.314152255276,817
2009,1174.4055066234,12,40,2.41,413.469385835174,585
2010,1174.4055066234,12,44,1.36,787.302499937387,566
2011,1174.4055066234,14,46,4.67,439.1980629505,962
2012,1229.02901855937,21,49,2.99,816.595990415861,1202
2013,1229.02901855937,23,48,1.17,1151.50292545454,1267
2014,1229.02901855937,18,44,0.87,822.626501124123,441
2015,1229.02901855937,12,47,1.45,583.069999408513,470
2016,1229.02901855937,14,47,3.255,670.937833248764,555
2017,1229.02901855937,18,54,2.75376884422111,840.424912867113,849
